# parameters:
#  num_nodes=4, num_iters=10, link_fidelity=0.99
# columns:
#  ntest   avg_failure_rate    avg_target_fidelity
1 0.1 0.8
2 0.0375 0.2
3 0.037499000000000005 0.4
4 0.032813999999999996 0.4
5 0.0475 0.2
6 0.033334 0.5
7 0.04642700000000001 0.2
8 0.044531 0.4
9 0.048610999999999994 0.0
10 0.04687499999999999 0.5
11 0.05113500000000001 0.2
12 0.048439 0.1
13 0.050481 0.1
14 0.047319 0.6
15 0.04375 0.2
16 0.050783 0.3
17 0.045957 0.2
18 0.046528 0.2
19 0.047696 0.190548
20 0.048126999999999996 0.5
