# parameters:
#  num_nodes=4, num_iters=10, link_fidelity=0.99
# columns:
#  ntest   avg_failure_rate    avg_target_fidelity
1 0.025 0.8
2 0.075 0.4
3 0.10833299999999998 0.2
4 0.05 0.5
5 0.05500000000000001 0.29717099999999996
6 0.075 0.3
7 0.07499800000000001 0.4
8 0.046875 0.3
9 0.075 0.5
10 0.0675 0.2
11 0.063637 0.5
12 0.041666999999999996 0.3
13 0.05961299999999999 0.2
14 0.073213 0.5
15 0.066667 0.2
16 0.05625100000000001 0.34634
17 0.05 0.3
18 0.07361100000000001 0.4
19 0.060526 0.0
20 0.058750000000000004 0.3
