# parameters:
#  num_nodes=4, num_iters=10, link_fidelity=0.95
# columns:
#  ntest   avg_failure_rate    avg_target_fidelity
1 0.025 0.5
2 0.1 0.5
3 0.15833299999999997 0.7
4 0.09375 0.5
5 0.145 0.5
6 0.070834 0.30880799999999997
7 0.121427 0.5
8 0.115625 0.5
9 0.108334 0.791191
10 0.10500000000000001 0.1
11 0.111362 0.4
12 0.11458399999999999 0.491191
13 0.096153 0.1
14 0.09285600000000001 0.3
15 0.101667 0.20057999999999998
16 0.123438 0.1
17 0.10441199999999999 0.3
18 0.084722 0.0
19 0.093421 0.250183
20 0.10750000000000001 0.204387
