# parameters:
#  num_nodes=4, num_iters=10, link_fidelity=0.95
# columns:
#  ntest   avg_failure_rate    avg_target_fidelity
1 0.175 0.50058
2 0.1625 0.6
3 0.141666 0.5
4 0.11875 0.49941899999999995
5 0.13999999999999999 0.4
6 0.166666 0.39119099999999996
7 0.13928400000000002 0.2
8 0.103125 0.6
9 0.136111 0.041416999999999995
10 0.13999999999999999 0.5
11 0.14772800000000003 0.10438700000000001
12 0.12499899999999997 0.49557799999999996
13 0.128846 0.395578
14 0.123214 0.304387
15 0.144999 0.1
16 0.135939 0.2
17 0.124999 0.241417
18 0.13611199999999998 0.3
19 0.13421 0.300846
20 0.14375 0.304797
