WARNING:0.0 ns:Stack.Node_1_Verifier:Total GHZ copies: 160
WARNING:0.0 ns:Stack.Node_1_Verifier:Total tests: 159
WARNING:0.0 ns:Stack.Node_1_Verifier:Stabilizers: ['-YYXX', '-XYYX', '-XXYY', 'XXXX', 'IIII', 'ZIZI', 'ZZZZ', 'ZZII', 'IZIZ', 'IZZI', 'IIZZ', '-YXXY', '-YXYX', 'YYYY', '-XYXY', 'ZIIZ']
WARNING:0.0 ns:Stack.Node_1_Verifier:Target copy: 49
WARNING:0.0 ns:Stack.Node_1_Verifier:Stabilizer tests
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 143: -XYXY
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 68: YYYY
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 123: -YXXY
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 159: YYYY
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 26: -XYXY
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 94: -XYYX
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 16: IIII
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 67: -YXYX
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 61: IZIZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 22: -YYXX
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 81: ZIIZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 153: ZIIZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 54: IIII
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 3: IZZI
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 84: IIII
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 141: XXXX
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 12: ZIZI
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 93: ZZII
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 75: IIZZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 69: IZIZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 83: XXXX
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 64: IIZZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 23: -YYXX
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 158: IZIZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 62: IZZI
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 85: ZZZZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 63: IZIZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 15: -XYXY
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 91: IIZZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 74: ZIIZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 21: XXXX
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 19: ZZZZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 80: -YXYX
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 122: -YXXY
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 31: IZIZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 51: ZIZI
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 145: -YXYX
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 86: IIII
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 34: ZIZI
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 138: XXXX
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 2: IZIZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 4: -XYXY
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 50: XXXX
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 59: -XYYX
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 6: -XYXY
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 65: IZIZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 92: ZZII
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 126: YYYY
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 56: ZIIZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 107: ZZZZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 79: ZZZZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 24: XXXX
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 41: IIZZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 97: -XYYX
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 43: ZZZZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 121: ZZZZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 72: XXXX
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 132: -XXYY
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 109: -YXXY
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 27: -XYXY
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 1: ZIIZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 151: ZZII
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 0: -XYYX
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 144: ZZZZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 90: -XXYY
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 60: -YYXX
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 152: ZZZZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 149: -YYXX
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 52: IZZI
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 7: -XYXY
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 30: -XXYY
