# parameters:
#  num_nodes=4, num_iters=100, ntest=15, failure threshold=0.1
# columns:
#  sensing_iteration   running_frequency   running_estimation   average_phase
19 1.0 1.5707963267948966 1.7222162800687784
25 0.5 1.9634954084936207 1.7222162800687784
28 0.3333333333333333 2.0484546358571514 1.7222162800687784
29 0.25 2.0943951023931957 1.7222162800687784
31 0.2 2.1243706856919418 1.7222162800687784
46 0.16666666666666666 2.1459273225503623 1.7222162800687784
49 0.14285714285714285 2.1623961468647543 1.7222162800687784
55 0.125 2.175510928238991 1.7222162800687784
57 0.2222222222222222 2.1107531510476893 1.7222162800687784
66 0.3 2.066374620010493 1.7222162800687784
77 0.2727272727272727 2.081460867813531 1.7222162800687784
91 0.25 2.0943951023931957 1.7222162800687784
92 0.3076923076923077 2.062193188418561 1.7222162800687784
94 0.35714285714285715 2.0359333338526326 1.7222162800687784
