# parameters:
#  num_nodes=4, ntest=10, use_optimistic=False, use_highfid=False
# columns:
#  target_position    target_fidelity
41 0.0
4 0.0
66 0.0
42 0.0
29 1.0
5 0.0
47 0.0
62 0.0
14 0.0
52 0.005
26 0.0
21 0.063
19 0.0
46 0.0
24 0.184
77 0.0
43 0.0
11 0.0
74 0.033
22 0.535
71 0.0
25 0.0
16 0.029
51 0.0
59 0.231
3 0.021
27 0.123
61 0.0
1 0.113
7 0.0
31 0.184
53 0.0
54 0.0
23 0.0
13 0.0
39 0.0
56 0.0
30 0.0
34 0.0
49 0.0
72 0.0
17 0.0
45 0.0
48 0.0
8 0.0
15 0.0
33 0.0
69 0.0
58 0.0
28 0.0
10 0.286
44 0.0
2 0.0
