# parameters:
#  num_nodes=4, ntest=10, use_optimistic=True, use_highfid=True
# columns:
#  target_position    target_fidelity
29 0.0
50 1.0
13 0.0
77 1.0
71 0.0
14 0.0
67 1.0
55 0.0
9 0.0
18 1.0
68 0.0
4 0.0
79 0.0
39 0.0
25 0.0
65 0.006
63 1.0
43 0.0
69 0.0
7 1.0
22 1.0
37 1.0
23 0.0
1 0.0
0 0.912
3 1.0
32 1.0
27 0.006
6 0.0
5 0.0
62 0.0
40 0.0
74 1.0
76 0.0
52 0.0
26 0.0
33 1.0
20 0.37
48 0.0
49 1.0
56 0.0
41 0.912
58 0.0
36 0.0
28 0.0
46 0.0
45 1.0
38 0.0
30 1.0
42 0.0
60 1.0
53 0.0
8 1.0
73 0.0
