# parameters:
#  num_nodes=4, ntest=10, use_optimistic=True, use_highfid=False
# columns:
#  target_position    target_fidelity
79 0.0
41 0.0
20 1.0
30 0.0
7 0.0
13 1.0
60 0.0
18 0.0
15 0.0
70 0.0
4 1.0
28 0.0
54 0.0
76 0.0
2 1.0
14 0.0
29 0.0
11 0.0
31 0.0
17 0.0
43 0.0
35 0.0
44 0.0
34 1.0
24 0.0
26 1.0
55 1.0
46 0.0
67 0.5
21 0.0
77 1.0
33 0.0
38 0.0
73 0.0
9 0.0
1 0.0
74 1.0
16 0.5
61 1.0
68 0.0
62 0.0
69 0.0
66 0.0
45 0.0
65 0.0
37 1.0
71 1.0
8 0.0
12 0.0
51 0.0
78 1.0
49 0.0
6 0.0
39 1.0
52 0.0
72 1.0
63 0.0
10 0.0
