# parameters: 
#   num_nodes=4, num_iters=10, max_ntest=20
# columns:
#   ntest   failure_rates_v1    failure_rates_v2
1 0.45 0.65
2 0.5625 0.55
3 0.5249999999999999 0.525
4 0.4625 0.4625
5 0.485 0.505
6 0.5166666666666666 0.4625
7 0.5321428571428571 0.48571428571428565
8 0.546875 0.5375
9 0.4527777777777778 0.5166666666666667
10 0.5225 0.47750000000000004
11 0.4818181818181818 0.5045454545454546
12 0.5270833333333333 0.4979166666666666
13 0.4884615384615386 0.49423076923076936
14 0.5125 0.5
15 0.5216666666666667 0.4966666666666666
16 0.5046875 0.5046875
17 0.45 0.4676470588235294
18 0.5208333333333334 0.525
19 0.481578947368421 0.475
20 0.5075000000000001 0.4950000000000001
