# parameters:
#  num_nodes=4, num_iters=10, max_ntest=20
# columns:
#  ntest   failure_rates_v1    failure_rates_v2
1 0.375 0.25
2 0.4375 0.35
3 0.3416666666666667 0.2833333333333333
4 0.48125 0.2875
5 0.4000000000000001 0.31
6 0.41666666666666663 0.3416666666666667
7 0.40714285714285714 0.3499999999999999
8 0.478125 0.2875
9 0.4833333333333333 0.30277777777777776
10 0.4700000000000001 0.33499999999999996
11 0.4795454545454545 0.30454545454545456
12 0.4479166666666667 0.2791666666666667
13 0.44423076923076926 0.3538461538461538
14 0.4678571428571428 0.30357142857142855
15 0.45833333333333337 0.31500000000000006
16 0.4921875 0.2734375
17 0.4911764705882352 0.29411764705882354
18 0.4458333333333333 0.2972222222222222
19 0.5105263157894736 0.3171052631578947
20 0.49625 0.33125
