# parameters: 
#   num_nodes=4, num_iters=10, max_ntest=20
# columns:
#   ntest   failure_rates_v1    failure_rates_v2
1 0.3 0.125
2 0.3875 0.1
3 0.45 0.11666666666666665
4 0.41875 0.125
5 0.40499999999999997 0.11500000000000002
6 0.4666666666666666 0.1708333333333333
7 0.49285714285714277 0.14285714285714285
8 0.521875 0.153125
9 0.5111111111111111 0.15833333333333335
10 0.4674999999999999 0.135
11 0.4590909090909091 0.13636363636363638
12 0.4520833333333334 0.12291666666666667
13 0.4480769230769231 0.1557692307692308
14 0.48571428571428565 0.11428571428571428
15 0.5133333333333333 0.15000000000000002
16 0.5078125 0.1671875
17 0.48235294117647054 0.14558823529411766
18 0.49027777777777776 0.15000000000000002
19 0.4828947368421052 0.14078947368421052
20 0.49874999999999997 0.12999999999999998
